x,y,time
13.908742465353713,52.596296391113185,2014-06-06T18:31:00Z
13.907796761262277,52.596784899686675,2014-06-06T19:01:00Z
13.904033366889797,52.59995615082303,2014-06-06T19:31:00Z
13.90395509144759,52.59890385152089,2014-06-06T20:01:00Z
13.903891723170785,52.59841167000603,2014-06-06T20:31:00Z
13.903452919399289,52.597482938533915,2014-06-06T21:01:00Z
13.90354315115305,52.595849422352174,2014-06-06T21:31:00Z
13.903257839586427,52.598406115164224,2014-06-06T22:01:00Z
13.903443056050047,52.59824846370592,2014-06-06T22:31:00Z
13.903294789804901,52.598182546580354,2014-06-06T23:01:00Z
13.902611604382502,52.598202983928246,2014-06-06T23:31:00Z
13.902833644256496,52.598239252139294,2014-06-07T00:01:00Z
13.90259407166527,52.59718284640865,2014-06-07T00:31:00Z
